CustomerID,Recency,Frequency,Monetary,RecencyTile,FrequencyTile,MonetaryTile,RFM_Score,RFM_Level,LevelSegment
12747.0,2,11,4196.01,4,4,4,444,12,Best Customer
12748.0,0,210,33053.19,4,4,4,444,12,Best Customer
12749.0,3,5,4090.88,4,3,4,434,11,Loyal Customer
12820.0,3,4,942.34,4,3,3,433,10,Loyal Customer
12821.0,214,1,92.72,1,1,1,111,3,Lost Cheap Customers
12822.0,70,2,948.88,2,2,3,223,7,Almost Lost
12823.0,74,5,1759.5,2,3,4,234,9,Big Spenders
12824.0,59,1,397.12,2,1,2,212,5,Lost Customers
12826.0,2,7,1474.72,4,4,3,443,11,Loyal Customer
12827.0,5,3,430.15,4,3,2,432,9,Big Spenders
12828.0,2,6,1018.71,4,4,3,443,11,Loyal Customer
12829.0,336,2,293.0,1,2,1,121,4,Lost Customers
12830.0,37,6,6814.64,3,4,4,344,11,Loyal Customer
12831.0,262,1,215.05,1,1,1,111,3,Lost Cheap Customers
12832.0,32,2,383.03000000000003,3,2,2,322,7,Almost Lost
12833.0,145,1,417.38,1,1,2,112,4,Lost Customers
12834.0,282,1,312.38,1,1,2,112,4,Lost Customers
12836.0,59,4,2610.36,2,3,4,234,9,Big Spenders
12837.0,173,1,134.1,1,1,1,111,3,Lost Cheap Customers
12838.0,33,2,671.95,3,2,3,323,8,Big Spenders
12839.0,2,14,5591.42,4,4,4,444,12,Best Customer
12840.0,143,4,2726.77,1,3,4,134,8,Big Spenders
12841.0,4,25,3991.58,4,4,4,444,12,Best Customer
12842.0,70,2,1118.99,2,2,3,223,7,Almost Lost
12843.0,65,8,1702.26,2,4,4,244,10,Loyal Customer
12844.0,29,2,325.96000000000004,3,2,2,322,7,Almost Lost
12845.0,267,4,354.09000000000003,1,3,2,132,6,Almost Lost
12847.0,22,1,843.64,3,1,3,313,7,Almost Lost
12849.0,31,2,1010.29,3,2,3,323,8,Big Spenders
12851.0,96,1,131.81,2,1,1,211,4,Lost Customers
12852.0,294,1,311.55,1,1,2,112,4,Lost Customers
12853.0,134,6,1957.1000000000001,2,4,4,244,10,Loyal Customer
12854.0,78,3,1316.25,2,3,3,233,8,Big Spenders
12855.0,372,1,38.1,1,1,1,111,3,Lost Cheap Customers
12856.0,7,6,2170.78,4,4,4,444,12,Best Customer
12857.0,210,2,1106.4,1,2,3,123,6,Almost Lost
12863.0,52,1,521.2,2,1,2,212,5,Lost Customers
12864.0,138,1,147.12,2,1,1,211,4,Lost Customers
12867.0,26,7,4009.34,3,4,4,344,11,Loyal Customer
12868.0,185,6,1607.0600000000002,1,4,4,144,9,Big Spenders
12871.0,84,2,380.64,2,2,2,222,6,Almost Lost
12872.0,326,2,599.97,1,2,2,122,5,Lost Customers
12873.0,282,1,374.0,1,1,2,112,4,Lost Customers
12875.0,143,2,343.2300000000001,1,2,2,122,5,Lost Customers
12877.0,3,12,1535.77,4,4,3,443,11,Loyal Customer
12878.0,236,2,854.99,1,2,3,123,6,Almost Lost
12879.0,44,3,573.22,3,3,2,332,8,Big Spenders
12881.0,275,1,298.0,1,1,1,111,3,Lost Cheap Customers
12882.0,9,2,1463.04,4,2,3,423,9,Big Spenders
12883.0,24,4,703.47,3,3,3,333,9,Big Spenders
12884.0,88,1,309.05,2,1,2,212,5,Lost Customers
12885.0,63,3,1175.22,2,3,3,233,8,Big Spenders
12886.0,67,2,1378.4,2,2,3,223,7,Almost Lost
12888.0,214,2,354.12,1,2,2,122,5,Lost Customers
12890.0,24,1,376.71999999999997,3,1,2,312,6,Almost Lost
12891.0,185,3,331.0,1,3,2,132,6,Almost Lost
12893.0,30,1,176.55,3,1,1,311,5,Lost Customers
12895.0,42,2,372.8,3,2,2,322,7,Almost Lost
12897.0,204,2,216.5,1,2,1,121,4,Lost Customers
12901.0,8,28,17654.54,4,4,4,444,12,Best Customer
12902.0,264,1,138.68,1,1,1,111,3,Lost Cheap Customers
12904.0,18,2,496.06,3,2,2,322,7,Almost Lost
12906.0,11,5,2919.81,4,3,4,434,11,Loyal Customer
12908.0,176,2,750.0,1,2,3,123,6,Almost Lost
12909.0,39,5,2178.67,3,3,4,334,10,Loyal Customer
12910.0,23,8,3075.04,3,4,4,344,11,Loyal Customer
12912.0,2,5,1662.3,4,3,4,434,11,Loyal Customer
12913.0,4,5,2483.63,4,3,4,434,11,Loyal Customer
12915.0,148,2,363.65,1,2,2,122,5,Lost Customers
12916.0,138,4,2944.95,2,3,4,234,9,Big Spenders
12917.0,128,1,594.0,2,1,2,212,5,Lost Customers
12919.0,8,6,1335.19,4,4,3,443,11,Loyal Customer
12920.0,17,1,162.78,4,1,1,411,6,Almost Lost
12921.0,9,37,16587.09,4,4,4,444,12,Best Customer
12922.0,161,1,405.38,1,1,2,112,4,Lost Customers
12923.0,64,1,172.82,2,1,1,211,4,Lost Customers
12924.0,88,4,933.7,2,3,3,233,8,Big Spenders
12925.0,4,2,694.05,4,2,3,423,9,Big Spenders
12928.0,35,5,2062.7,3,3,4,334,10,Loyal Customer
12929.0,311,1,117.85,1,1,1,111,3,Lost Cheap Customers
12930.0,78,2,415.8,2,2,2,222,6,Almost Lost
12931.0,21,15,42055.96,3,4,4,344,11,Loyal Customer
12933.0,24,3,607.53,3,3,2,332,8,Big Spenders
12935.0,2,7,2160.7,4,4,4,444,12,Best Customer
12936.0,17,4,1063.9,4,3,3,433,10,Loyal Customer
12937.0,15,4,1504.27,4,3,3,433,10,Loyal Customer
12938.0,25,1,114.14,3,1,1,311,5,Lost Customers
12939.0,64,8,11581.8,2,4,4,244,10,Loyal Customer
12940.0,54,2,899.69,2,2,3,223,7,Almost Lost
12942.0,131,3,675.6,2,3,3,233,8,Big Spenders
12944.0,35,2,604.51,3,2,2,322,7,Almost Lost
12945.0,288,1,462.95,1,1,2,112,4,Lost Customers
12947.0,143,6,1603.99,1,4,4,144,9,Big Spenders
12948.0,16,7,2064.95,4,4,4,444,12,Best Customer
12949.0,30,8,4167.22,3,4,4,344,11,Loyal Customer
12950.0,2,3,1843.0,4,3,4,434,11,Loyal Customer
12951.0,8,6,1064.07,4,4,3,443,11,Loyal Customer
12952.0,5,4,1387.79,4,3,3,433,10,Loyal Customer
12953.0,9,1,329.85,4,1,2,412,7,Almost Lost
12955.0,1,11,4757.16,4,4,4,444,12,Best Customer
12956.0,306,1,108.07,1,1,1,111,3,Lost Cheap Customers
12957.0,9,8,4017.54,4,4,4,444,12,Best Customer
12962.0,7,2,266.39,4,2,1,421,7,Almost Lost
12963.0,8,8,1856.63,4,4,4,444,12,Best Customer
12965.0,89,1,769.8100000000001,2,1,3,213,6,Almost Lost
12966.0,9,1,160.18,4,1,1,411,6,Almost Lost
12967.0,358,2,1660.9,1,2,4,124,7,Almost Lost
12968.0,112,1,135.95,2,1,1,211,4,Lost Customers
12970.0,7,4,405.47,4,3,2,432,9,Big Spenders
12971.0,3,86,11189.91,4,4,4,444,12,Best Customer
12974.0,197,1,144.8,1,1,1,111,3,Lost Cheap Customers
12976.0,211,1,738.6,1,1,3,113,5,Lost Customers
12977.0,156,1,39.239999999999995,1,1,1,111,3,Lost Cheap Customers
12980.0,157,9,7374.900000000001,1,4,4,144,9,Big Spenders
12981.0,29,2,372.21999999999997,3,2,2,322,7,Almost Lost
12982.0,242,1,390.54,1,1,2,112,4,Lost Customers
12984.0,18,1,97.5,3,1,1,311,5,Lost Customers
12985.0,0,2,1239.38,4,2,3,423,9,Big Spenders
12987.0,73,2,558.7,2,2,2,222,6,Almost Lost
12988.0,292,1,505.82,1,1,2,112,4,Lost Customers
12989.0,3,15,6924.11,4,4,4,444,12,Best Customer
12990.0,31,3,409.5,3,3,2,332,8,Big Spenders
12991.0,23,2,503.76,3,2,2,322,7,Almost Lost
12993.0,23,4,414.76,3,3,2,332,8,Big Spenders
12994.0,4,3,974.42,4,3,3,433,10,Loyal Customer
12995.0,85,1,211.32,2,1,1,211,4,Lost Customers
12997.0,22,4,1226.89,3,3,3,333,9,Big Spenders
12999.0,196,3,455.88,1,3,2,132,6,Almost Lost
13000.0,106,3,534.85,2,3,2,232,7,Almost Lost
13001.0,4,13,9785.970000000001,4,4,4,444,12,Best Customer
13002.0,318,1,120.95,1,1,1,111,3,Lost Cheap Customers
13003.0,105,3,149.05,2,3,1,231,6,Almost Lost
13004.0,11,18,5655.91,4,4,4,444,12,Best Customer
13005.0,173,2,513.7,1,2,2,122,5,Lost Customers
13006.0,56,1,81.57,2,1,1,211,4,Lost Customers
13008.0,323,1,229.47,1,1,1,111,3,Lost Cheap Customers
13011.0,372,1,50.550000000000004,1,1,1,111,3,Lost Cheap Customers
13012.0,9,8,1646.8400000000001,4,4,4,444,12,Best Customer
13013.0,1,13,4810.9400000000005,4,4,4,444,12,Best Customer
13014.0,10,10,3466.28,4,4,4,444,12,Best Customer
13015.0,53,5,3339.64,2,3,4,234,9,Big Spenders
13016.0,73,3,789.89,2,3,3,233,8,Big Spenders
13017.0,7,1,204.0,4,1,1,411,6,Almost Lost
13018.0,16,28,7277.7,4,4,4,444,12,Best Customer
13021.0,4,9,2616.38,4,4,4,444,12,Best Customer
13023.0,64,2,689.9,2,2,3,223,7,Almost Lost
13026.0,1,5,975.36,4,3,3,433,10,Loyal Customer
13027.0,113,6,6912.0,2,4,4,244,10,Loyal Customer
13028.0,22,2,661.3199999999999,3,2,3,323,8,Big Spenders
13029.0,30,3,1247.5,3,3,3,333,9,Big Spenders
13030.0,11,2,752.44,4,2,3,423,9,Big Spenders
13032.0,52,2,1010.1800000000001,2,2,3,223,7,Almost Lost
13033.0,357,1,190.55,1,1,1,111,3,Lost Cheap Customers
13034.0,54,2,642.77,2,2,2,222,6,Almost Lost
13035.0,73,2,921.88,2,2,3,223,7,Almost Lost
13037.0,138,3,881.07,2,3,3,233,8,Big Spenders
13038.0,80,3,908.46,2,3,3,233,8,Big Spenders
13040.0,8,2,676.99,4,2,3,423,9,Big Spenders
13043.0,273,1,516.42,1,1,2,112,4,Lost Customers
13044.0,291,1,560.47,1,1,2,112,4,Lost Customers
13045.0,99,1,305.28000000000003,2,1,2,212,5,Lost Customers
13046.0,30,2,629.31,3,2,2,322,7,Almost Lost
13047.0,31,10,3237.54,3,4,4,344,11,Loyal Customer
13048.0,14,4,1819.41,4,3,4,434,11,Loyal Customer
13049.0,64,2,656.6800000000001,2,2,3,223,7,Almost Lost
13050.0,14,17,5836.86,4,4,4,444,12,Best Customer
13052.0,212,1,348.15000000000003,1,1,2,112,4,Lost Customers
13055.0,78,3,1214.41,2,3,3,233,8,Big Spenders
13058.0,24,3,271.40000000000003,3,3,1,331,7,Almost Lost
13059.0,249,1,183.4,1,1,1,111,3,Lost Cheap Customers
13060.0,253,1,307.53000000000003,1,1,2,112,4,Lost Customers
13061.0,72,1,248.61,2,1,1,211,4,Lost Customers
13062.0,191,1,346.98,1,1,2,112,4,Lost Customers
13064.0,12,4,1105.59,4,3,3,433,10,Loyal Customer
13065.0,373,1,205.86,1,1,1,111,3,Lost Cheap Customers
13066.0,24,2,470.8,3,2,2,322,7,Almost Lost
13067.0,82,1,115.46000000000001,2,1,1,211,4,Lost Customers
13068.0,10,2,344.0,4,2,2,422,8,Big Spenders
13069.0,0,24,4431.44,4,4,4,444,12,Best Customer
13070.0,192,1,228.8,1,1,1,111,3,Lost Cheap Customers
13072.0,266,1,177.15,1,1,1,111,3,Lost Cheap Customers
13075.0,129,1,919.61,2,1,3,213,6,Almost Lost
13077.0,1,4,728.02,4,3,3,433,10,Loyal Customer
13078.0,3,26,12627.94,4,4,4,444,12,Best Customer
13079.0,4,5,220.10000000000002,4,3,1,431,8,Big Spenders
13080.0,179,1,58.08,1,1,1,111,3,Lost Cheap Customers
13081.0,11,11,28337.38,4,4,4,444,12,Best Customer
13082.0,126,9,3613.63,2,4,4,244,10,Loyal Customer
13083.0,4,2,303.75,4,2,2,422,8,Big Spenders
13085.0,157,2,416.08,1,2,2,122,5,Lost Customers
13089.0,2,97,58762.08,4,4,4,444,12,Best Customer
13090.0,8,14,8910.82,4,4,4,444,12,Best Customer
13091.0,28,1,345.82,3,1,2,312,6,Almost Lost
13092.0,70,5,477.83,2,3,2,232,7,Almost Lost
13093.0,275,8,7832.47,1,4,4,144,9,Big Spenders
